original_url	type	wayback_url	status
https://agisoft.freshdesk.com/support/solutions/articles/31000148866	kb	https://web.archive.org/web/20260416211435/https://agisoft.freshdesk.com/support/solutions/articles/31000148866	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000148884	kb	https://web.archive.org/web/20260606132706/https://agisoft.freshdesk.com/support/solutions/articles/31000148884	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000148930	kb	https://web.archive.org/web/20260924070658/https://agisoft.freshdesk.com/support/solutions/articles/31000148930	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000149015	kb	https://web.archive.org/web/20260924070732/https://agisoft.freshdesk.com/support/solutions/articles/31000149015	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000149337	kb	https://web.archive.org/web/20260214231855/https://agisoft.freshdesk.com/support/solutions/articles/31000149337	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000149338	kb	https://web.archive.org/web/20260514194825/https://agisoft.freshdesk.com/support/solutions/articles/31000149338	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000149339	kb	https://web.archive.org/web/20260208040855/https://agisoft.freshdesk.com/support/solutions/articles/31000149339	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000149340	kb	https://web.archive.org/web/20260215033723/https://agisoft.freshdesk.com/support/solutions/articles/31000149340	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000149341	kb	https://web.archive.org/web/20260210213011/https://agisoft.freshdesk.com/support/solutions/articles/31000149341	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000150614	kb	https://web.archive.org/web/20260924070746/https://agisoft.freshdesk.com/support/solutions/articles/31000150614	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000150804	kb	https://web.archive.org/web/20260924070805/https://agisoft.freshdesk.com/support/solutions/articles/31000150804	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000150805	kb	https://web.archive.org/web/20260924070848/https://agisoft.freshdesk.com/support/solutions/articles/31000150805	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000151182	kb	https://web.archive.org/web/20260924070900/https://agisoft.freshdesk.com/support/solutions/articles/31000151182	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000152092	kb	https://web.archive.org/web/20260606132545/https://agisoft.freshdesk.com/support/solutions/articles/31000152092	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000152334	kb	https://web.archive.org/web/20260606140212/https://agisoft.freshdesk.com/support/solutions/articles/31000152334	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000152491	kb	https://web.archive.org/web/20260924070935/https://agisoft.freshdesk.com/support/solutions/articles/31000152491	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000153271	kb	https://web.archive.org/web/20260924070955/https://agisoft.freshdesk.com/support/solutions/articles/31000153271	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000153371	kb	https://web.archive.org/web/20260924071030/https://agisoft.freshdesk.com/support/solutions/articles/31000153371	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000153479	kb	https://web.archive.org/web/20260514185622/https://agisoft.freshdesk.com/support/solutions/articles/31000153479	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000153555	kb	https://web.archive.org/web/20260924071049/https://agisoft.freshdesk.com/support/solutions/articles/31000153555	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000153696	kb	https://web.archive.org/web/20260514193426/https://agisoft.freshdesk.com/support/solutions/articles/31000153696	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000153699	kb	https://web.archive.org/web/20260924071124/https://agisoft.freshdesk.com/support/solutions/articles/31000153699	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000153729	kb	http://web.archive.org/web/20260924071144/https://agisoft.freshdesk.com/support/solutions/articles/31000153729	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000153736	kb	https://web.archive.org/web/20260924071219/https://agisoft.freshdesk.com/support/solutions/articles/31000153736	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000153743	kb	https://web.archive.org/web/20260924071238/https://agisoft.freshdesk.com/support/solutions/articles/31000153743	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000153952	kb	https://web.archive.org/web/20260924071314/https://agisoft.freshdesk.com/support/solutions/articles/31000153952	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000154049	kb	http://web.archive.org/web/20260924071333/https://agisoft.freshdesk.com/support/solutions/articles/31000154049	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000154132	kb	https://web.archive.org/web/20260514190150/https://agisoft.freshdesk.com/support/solutions/articles/31000154132	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000154587	kb	https://web.archive.org/web/20260923123849/https://agisoft.freshdesk.com/support/solutions/articles/31000154587	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000154629	kb	https://web.archive.org/web/20260924071429/https://agisoft.freshdesk.com/support/solutions/articles/31000154629	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000154762	kb	https://web.archive.org/web/20260924071512/https://agisoft.freshdesk.com/support/solutions/articles/31000154762	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000155067	kb	https://web.archive.org/web/20260416210017/https://agisoft.freshdesk.com/support/solutions/articles/31000155067	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000155118	kb	https://web.archive.org/web/20260514192236/https://agisoft.freshdesk.com/support/solutions/articles/31000155118	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000155178	kb	https://web.archive.org/web/20260924071532/https://agisoft.freshdesk.com/support/solutions/articles/31000155178	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000155179	kb	https://web.archive.org/web/20260924071559/https://agisoft.freshdesk.com/support/solutions/articles/31000155179	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000155265	kb	https://web.archive.org/web/20260924071618/https://agisoft.freshdesk.com/support/solutions/articles/31000155265	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000155544	kb	https://web.archive.org/web/20260924071702/https://agisoft.freshdesk.com/support/solutions/articles/31000155544	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000155753	kb	https://web.archive.org/web/20260924071713/https://agisoft.freshdesk.com/support/solutions/articles/31000155753	LIVE
https://agisoft.freshdesk.com/support/solutions/articles/31000155990	kb	https://web.archive.org/web/20251216060425/https://agisoft.freshdesk.com/support/solutions/articles/31000155990	LIVE
