original_url	save_target	save_page_url
https://www.agisoft.com/forum/index.php?topic=11164.msg50274#msg50274	https://www.agisoft.com/forum/index.php?topic=11164.msg50274	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D11164.msg50274
https://www.agisoft.com/forum/index.php?topic=11286.msg49832#msg49832	https://www.agisoft.com/forum/index.php?topic=11286.msg49832	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D11286.msg49832
https://www.agisoft.com/forum/index.php?topic=11286.msg50690#msg50690	https://www.agisoft.com/forum/index.php?topic=11286.msg50690	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D11286.msg50690
https://www.agisoft.com/forum/index.php?topic=11286.msg50699#msg50699	https://www.agisoft.com/forum/index.php?topic=11286.msg50699	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D11286.msg50699
https://www.agisoft.com/forum/index.php?topic=11286.msg50706#msg50706	https://www.agisoft.com/forum/index.php?topic=11286.msg50706	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D11286.msg50706
https://www.agisoft.com/forum/index.php?topic=11404.msg51148#msg51148	https://www.agisoft.com/forum/index.php?topic=11404.msg51148	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D11404.msg51148
https://www.agisoft.com/forum/index.php?topic=11506.msg51385#msg51385	https://www.agisoft.com/forum/index.php?topic=11506.msg51385	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D11506.msg51385
https://www.agisoft.com/forum/index.php?topic=11548.msg52102#msg52102	https://www.agisoft.com/forum/index.php?topic=11548.msg52102	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D11548.msg52102
https://www.agisoft.com/forum/index.php?topic=11630.msg52157#msg52157	https://www.agisoft.com/forum/index.php?topic=11630.msg52157	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D11630.msg52157
https://www.agisoft.com/forum/index.php?topic=11630.msg53148#msg53148	https://www.agisoft.com/forum/index.php?topic=11630.msg53148	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D11630.msg53148
https://www.agisoft.com/forum/index.php?topic=11771.msg52680#msg52680	https://www.agisoft.com/forum/index.php?topic=11771.msg52680	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D11771.msg52680
https://www.agisoft.com/forum/index.php?topic=11803.msg53024#msg53024	https://www.agisoft.com/forum/index.php?topic=11803.msg53024	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D11803.msg53024
https://www.agisoft.com/forum/index.php?topic=11817.msg52924#msg52924	https://www.agisoft.com/forum/index.php?topic=11817.msg52924	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D11817.msg52924
https://www.agisoft.com/forum/index.php?topic=11931.msg53450#msg53450	https://www.agisoft.com/forum/index.php?topic=11931.msg53450	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D11931.msg53450
https://www.agisoft.com/forum/index.php?topic=12036.msg53833#msg53833	https://www.agisoft.com/forum/index.php?topic=12036.msg53833	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D12036.msg53833
https://www.agisoft.com/forum/index.php?topic=12069.msg53767#msg53767	https://www.agisoft.com/forum/index.php?topic=12069.msg53767	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D12069.msg53767
https://www.agisoft.com/forum/index.php?topic=12114.msg59880#msg59880	https://www.agisoft.com/forum/index.php?topic=12114.msg59880	https://archive.ph/?url=https%3A%2F%2Fwww.agisoft.com%2Fforum%2Findex.php%3Ftopic%3D12114.msg59880
