article_url	wayback_save_url
https://agisoft.freshdesk.com/support/solutions/articles/31000149341	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000149341
https://agisoft.freshdesk.com/support/solutions/articles/31000150614	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000150614
https://agisoft.freshdesk.com/support/solutions/articles/31000150804	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000150804
https://agisoft.freshdesk.com/support/solutions/articles/31000150805	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000150805
https://agisoft.freshdesk.com/support/solutions/articles/31000151182	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000151182
https://agisoft.freshdesk.com/support/solutions/articles/31000152092	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000152092
https://agisoft.freshdesk.com/support/solutions/articles/31000152334	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000152334
https://agisoft.freshdesk.com/support/solutions/articles/31000152491	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000152491
https://agisoft.freshdesk.com/support/solutions/articles/31000153271	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000153271
https://agisoft.freshdesk.com/support/solutions/articles/31000153371	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000153371
https://agisoft.freshdesk.com/support/solutions/articles/31000153479	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000153479
https://agisoft.freshdesk.com/support/solutions/articles/31000153555	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000153555
https://agisoft.freshdesk.com/support/solutions/articles/31000153696	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000153696
https://agisoft.freshdesk.com/support/solutions/articles/31000153699	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000153699
https://agisoft.freshdesk.com/support/solutions/articles/31000153729	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000153729
https://agisoft.freshdesk.com/support/solutions/articles/31000153736	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000153736
https://agisoft.freshdesk.com/support/solutions/articles/31000153743	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000153743
https://agisoft.freshdesk.com/support/solutions/articles/31000153952	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000153952
https://agisoft.freshdesk.com/support/solutions/articles/31000154049	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000154049
https://agisoft.freshdesk.com/support/solutions/articles/31000154132	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000154132
https://agisoft.freshdesk.com/support/solutions/articles/31000154587	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000154587
https://agisoft.freshdesk.com/support/solutions/articles/31000154629	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000154629
https://agisoft.freshdesk.com/support/solutions/articles/31000154762	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000154762
https://agisoft.freshdesk.com/support/solutions/articles/31000155067	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000155067
https://agisoft.freshdesk.com/support/solutions/articles/31000155118	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000155118
https://agisoft.freshdesk.com/support/solutions/articles/31000155178	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000155178
https://agisoft.freshdesk.com/support/solutions/articles/31000155179	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000155179
https://agisoft.freshdesk.com/support/solutions/articles/31000155265	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000155265
https://agisoft.freshdesk.com/support/solutions/articles/31000155544	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000155544
https://agisoft.freshdesk.com/support/solutions/articles/31000155753	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000155753
https://agisoft.freshdesk.com/support/solutions/articles/31000155990	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000155990
https://agisoft.freshdesk.com/support/solutions/articles/31000156301	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000156301
https://agisoft.freshdesk.com/support/solutions/articles/31000156493	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000156493
https://agisoft.freshdesk.com/support/solutions/articles/31000156497	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000156497
https://agisoft.freshdesk.com/support/solutions/articles/31000156964	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000156964
https://agisoft.freshdesk.com/support/solutions/articles/31000157018	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000157018
https://agisoft.freshdesk.com/support/solutions/articles/31000157329	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000157329
https://agisoft.freshdesk.com/support/solutions/articles/31000157459	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000157459
https://agisoft.freshdesk.com/support/solutions/articles/31000157618	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000157618
https://agisoft.freshdesk.com/support/solutions/articles/31000157619	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000157619
https://agisoft.freshdesk.com/support/solutions/articles/31000157620	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000157620
https://agisoft.freshdesk.com/support/solutions/articles/31000157701	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000157701
https://agisoft.freshdesk.com/support/solutions/articles/31000157888	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000157888
https://agisoft.freshdesk.com/support/solutions/articles/31000157908	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000157908
https://agisoft.freshdesk.com/support/solutions/articles/31000157953	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000157953
https://agisoft.freshdesk.com/support/solutions/articles/31000158119	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000158119
https://agisoft.freshdesk.com/support/solutions/articles/31000158217	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000158217
https://agisoft.freshdesk.com/support/solutions/articles/31000158320	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000158320
https://agisoft.freshdesk.com/support/solutions/articles/31000158376	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000158376
https://agisoft.freshdesk.com/support/solutions/articles/31000158435	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000158435
https://agisoft.freshdesk.com/support/solutions/articles/31000158881	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000158881
https://agisoft.freshdesk.com/support/solutions/articles/31000158885	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000158885
https://agisoft.freshdesk.com/support/solutions/articles/31000158896	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000158896
https://agisoft.freshdesk.com/support/solutions/articles/31000158928	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000158928
https://agisoft.freshdesk.com/support/solutions/articles/31000158941	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000158941
https://agisoft.freshdesk.com/support/solutions/articles/31000158942	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000158942
https://agisoft.freshdesk.com/support/solutions/articles/31000158967	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000158967
https://agisoft.freshdesk.com/support/solutions/articles/31000159037	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000159037
https://agisoft.freshdesk.com/support/solutions/articles/31000159101	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000159101
https://agisoft.freshdesk.com/support/solutions/articles/31000159199	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000159199
https://agisoft.freshdesk.com/support/solutions/articles/31000159337	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000159337
https://agisoft.freshdesk.com/support/solutions/articles/31000159367	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000159367
https://agisoft.freshdesk.com/support/solutions/articles/31000159531	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000159531
https://agisoft.freshdesk.com/support/solutions/articles/31000159556	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000159556
https://agisoft.freshdesk.com/support/solutions/articles/31000159853	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000159853
https://agisoft.freshdesk.com/support/solutions/articles/31000159895	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000159895
https://agisoft.freshdesk.com/support/solutions/articles/31000160027	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000160027
https://agisoft.freshdesk.com/support/solutions/articles/31000160059	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000160059
https://agisoft.freshdesk.com/support/solutions/articles/31000160098	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000160098
https://agisoft.freshdesk.com/support/solutions/articles/31000160235	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000160235
https://agisoft.freshdesk.com/support/solutions/articles/31000160468	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000160468
https://agisoft.freshdesk.com/support/solutions/articles/31000160727	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000160727
https://agisoft.freshdesk.com/support/solutions/articles/31000160729	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000160729
https://agisoft.freshdesk.com/support/solutions/articles/31000160891	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000160891
https://agisoft.freshdesk.com/support/solutions/articles/31000160911	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000160911
https://agisoft.freshdesk.com/support/solutions/articles/31000160912	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000160912
https://agisoft.freshdesk.com/support/solutions/articles/31000161029	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000161029
https://agisoft.freshdesk.com/support/solutions/articles/31000161038	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000161038
https://agisoft.freshdesk.com/support/solutions/articles/31000161146	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000161146
https://agisoft.freshdesk.com/support/solutions/articles/31000161178	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000161178
https://agisoft.freshdesk.com/support/solutions/articles/31000161295	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000161295
https://agisoft.freshdesk.com/support/solutions/articles/31000161406	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000161406
https://agisoft.freshdesk.com/support/solutions/articles/31000161533	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000161533
https://agisoft.freshdesk.com/support/solutions/articles/31000161545	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000161545
https://agisoft.freshdesk.com/support/solutions/articles/31000161735	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000161735
https://agisoft.freshdesk.com/support/solutions/articles/31000161958	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000161958
https://agisoft.freshdesk.com/support/solutions/articles/31000161959	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000161959
https://agisoft.freshdesk.com/support/solutions/articles/31000162008	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000162008
https://agisoft.freshdesk.com/support/solutions/articles/31000162209	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000162209
https://agisoft.freshdesk.com/support/solutions/articles/31000162210	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000162210
https://agisoft.freshdesk.com/support/solutions/articles/31000162211	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000162211
https://agisoft.freshdesk.com/support/solutions/articles/31000162212	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000162212
https://agisoft.freshdesk.com/support/solutions/articles/31000162414	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000162414
https://agisoft.freshdesk.com/support/solutions/articles/31000162464	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000162464
https://agisoft.freshdesk.com/support/solutions/articles/31000162477	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000162477
https://agisoft.freshdesk.com/support/solutions/articles/31000162552	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000162552
https://agisoft.freshdesk.com/support/solutions/articles/31000162572	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000162572
https://agisoft.freshdesk.com/support/solutions/articles/31000162602	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000162602
https://agisoft.freshdesk.com/support/solutions/articles/31000162626	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000162626
https://agisoft.freshdesk.com/support/solutions/articles/31000162627	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000162627
https://agisoft.freshdesk.com/support/solutions/articles/31000163220	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000163220
https://agisoft.freshdesk.com/support/solutions/articles/31000163267	https://web.archive.org/save/https://agisoft.freshdesk.com/support/solutions/articles/31000163267
